                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5859,                 2.4955,                 1.7728,                0.50046,                0.48221,                0.44331,                0.18866,                 1.7311,                 7.7002,                 2.1468,             0.00023668,             0.00023668,             0.00023668
                      1,                 1.6587,                 1.8188,                  1.824,                0.46047,                0.36957,                0.38459,                0.16986,                 1.6912,                   15.1,                  2.016,             0.00046998,             0.00046998,             0.00046998
                      2,                 1.7408,                 1.8968,                 1.9061,                0.53979,                0.44664,                0.44359,                0.18602,                 1.8396,                 4.0085,                 2.1271,             0.00069857,             0.00069857,             0.00069857
                      3,                 1.6702,                 1.7741,                 1.8443,                0.67797,                0.48264,                0.56466,                0.27038,                 1.5172,                 4.9896,                   1.86,             0.00069279,             0.00069279,             0.00069279
                      4,                 1.6139,                  1.711,                 1.8047,                0.75808,                0.36364,                0.54054,                0.27341,                 1.5416,                 4.0098,                  1.819,             0.00069279,             0.00069279,             0.00069279
                      5,                  1.563,                 1.5308,                 1.7321,                0.73815,                0.63043,                0.70468,                0.35167,                 1.4865,                 5.7214,                 1.7462,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.5079,                 1.4551,                  1.695,                 0.7018,                0.64649,                0.69567,                0.36396,                 1.4601,                 2.2497,                 1.7477,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.4897,                 1.4554,                 1.6646,                0.74367,                0.64229,                0.72599,                0.36389,                 1.5463,                 2.4821,                 1.8221,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.4051,                 1.3461,                 1.6273,                0.76771,                0.67787,                0.75909,                0.41278,                 1.3713,                 1.6042,                 1.6389,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.4266,                  1.303,                 1.6214,                0.81912,                0.66227,                0.76134,                0.42988,                 1.2757,                 2.1494,                 1.5985,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.4103,                 1.3324,                 1.6032,                0.83377,                 0.6917,                0.79345,                0.44373,                 1.2948,                 1.4001,                 1.5849,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.3533,                 1.2021,                 1.5815,                0.81438,                0.71344,                0.79649,                0.43611,                 1.3336,                 1.5905,                 1.6078,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.3571,                 1.2146,                 1.5634,                0.84417,                0.70659,                0.80565,                0.46551,                 1.2493,                 1.1971,                 1.5418,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.3275,                 1.1533,                 1.5463,                0.81848,                0.72179,                0.81085,                0.46865,                 1.2775,                 1.2681,                 1.5523,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.3187,                 1.1357,                 1.5448,                0.83787,                 0.7747,                0.84337,                0.46347,                 1.2533,                 1.6125,                 1.5434,             0.00062211,             0.00062211,             0.00062211
                     15,                  1.279,                 1.1024,                 1.4976,                0.83855,                0.74704,                0.83438,                0.46412,                 1.2402,                 1.3671,                 1.5107,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.2719,                 1.0924,                 1.4989,                0.80699,                0.69411,                 0.7875,                0.42575,                 1.3107,                   1.77,                 1.5904,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.2679,                 1.0553,                 1.5055,                0.90321,                0.71928,                0.84105,                0.49014,                 1.1971,                0.84636,                 1.4947,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.2607,                 1.0277,                 1.4817,                 0.8294,                 0.7253,                0.82659,                0.48823,                 1.1707,                 1.8622,                 1.4728,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.2416,                0.99849,                 1.4522,                0.84066,                0.78197,                0.84552,                0.49316,                 1.1925,                 1.5801,                 1.4881,             0.00058677,             0.00058677,             0.00058677
                     20,                  1.224,                0.97676,                 1.4492,                0.84677,                0.75358,                 0.8448,                0.49891,                 1.1547,                 1.2233,                 1.4646,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.1952,                0.95254,                 1.4162,                 0.8881,                0.72727,                0.84634,                0.50334,                 1.1374,                 1.8608,                 1.4263,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.1862,                0.93164,                 1.4062,                0.84029,                0.75099,                0.82726,                0.47917,                 1.1916,                 1.0375,                 1.4778,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.1447,                0.90921,                 1.3928,                0.86975,                0.73903,                0.82439,                0.48717,                 1.1836,                0.95112,                  1.467,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.1348,                0.88254,                 1.3861,                0.89126,                0.76482,                0.86424,                0.50428,                 1.1551,                 1.0066,                 1.4376,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.1187,                0.85581,                  1.386,                0.87062,                0.79249,                0.86932,                0.51836,                 1.1204,                0.95575,                 1.4256,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.1144,                0.84217,                 1.3619,                0.85368,                0.75099,                0.84589,                0.51509,                 1.1113,                 1.0067,                 1.4366,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.0609,                0.82443,                 1.3458,                0.85396,                0.78458,                0.86654,                0.50445,                 1.1063,                 1.4618,                  1.416,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.0476,                0.78152,                 1.3343,                0.88893,                0.79087,                0.87076,                0.51454,                 1.1243,                0.93476,                 1.4146,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.0959,                0.83636,                 1.3512,                0.89886,                0.77278,                0.86321,                0.52397,                 1.1041,                0.81909,                  1.396,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.0919,                0.81568,                 1.3356,                0.88836,                0.78632,                0.88219,                0.52147,                 1.0973,                 1.1398,                 1.4062,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.0266,                0.76609,                 1.3147,                0.87262,                0.78854,                0.87475,                0.52322,                 1.0707,                0.76885,                 1.4034,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.0574,                0.76751,                 1.3057,                0.88447,                0.78261,                0.87992,                0.53754,                 1.0579,                0.77763,                 1.3678,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.0096,                0.72264,                 1.2975,                0.87474,                0.80049,                0.87518,                0.53026,                 1.1112,                0.84687,                 1.4087,              0.0004878,              0.0004878,              0.0004878
                     34,                 1.0124,                 0.7392,                 1.2954,                0.89684,                0.77314,                 0.8828,                0.54732,                 1.0417,                0.83401,                 1.3523,             0.00048074,             0.00048074,             0.00048074
                     35,                0.97764,                0.70404,                 1.2861,                0.91809,                0.79741,                0.88138,                0.53771,                 1.0887,                0.71746,                 1.3909,             0.00047367,             0.00047367,             0.00047367
                     36,                0.95456,                 0.6761,                 1.2666,                0.90624,                0.83202,                 0.9009,                0.55667,                 1.0217,                0.87546,                  1.367,              0.0004666,              0.0004666,              0.0004666
                     37,                0.99377,                 0.6991,                 1.2768,                 0.8963,                0.81992,                 0.8975,                0.52672,                 1.0707,                0.91402,                 1.3996,             0.00045953,             0.00045953,             0.00045953
                     38,                0.96552,                0.69948,                 1.2551,                0.91204,                0.81818,                0.89154,                0.55187,                 1.0302,                0.59763,                 1.3342,             0.00045246,             0.00045246,             0.00045246
                     39,                0.93451,                0.64796,                 1.2352,                0.87774,                0.81423,                0.89432,                0.53619,                 1.0672,                  1.165,                 1.3786,             0.00044539,             0.00044539,             0.00044539
                     40,                0.96041,                0.67241,                 1.2657,                0.88562,                0.80237,                0.88768,                 0.5469,                 1.0375,                0.95386,                 1.3521,             0.00043832,             0.00043832,             0.00043832
                     41,                0.91932,                0.62916,                 1.2327,                0.89568,                0.81443,                0.88966,                0.54107,                 1.0588,                0.73828,                  1.357,             0.00043126,             0.00043126,             0.00043126
                     42,                0.94643,                0.65092,                  1.245,                0.90991,                0.80237,                0.89343,                0.55057,                 1.0352,                0.67358,                 1.3405,             0.00042419,             0.00042419,             0.00042419
                     43,                0.94351,                0.66369,                 1.2389,                0.91584,                0.75889,                0.86987,                0.53137,                 1.0956,                0.67278,                  1.407,             0.00041712,             0.00041712,             0.00041712
                     44,                0.89922,                 0.5866,                 1.2109,                0.88527,                0.82346,                0.88967,                0.54819,                 1.0358,                0.68868,                 1.3382,             0.00041005,             0.00041005,             0.00041005
                     45,                0.89043,                0.60005,                  1.211,                0.92655,                0.77668,                0.88437,                0.54108,                 1.0527,                0.82211,                 1.3876,             0.00040298,             0.00040298,             0.00040298
                     46,                0.88523,                0.60273,                 1.2027,                0.91438,                0.80632,                 0.8882,                0.55912,                 1.0098,                0.63232,                 1.3335,             0.00039591,             0.00039591,             0.00039591
                     47,                0.91988,                0.60777,                 1.2156,                0.90633,                0.80314,                0.87417,                0.54095,                 1.0515,                0.73058,                 1.3794,             0.00038884,             0.00038884,             0.00038884
                     48,                0.87889,                0.60923,                 1.2079,                0.89108,                0.79221,                0.88277,                0.52984,                 1.0567,                 0.7811,                 1.3614,             0.00038178,             0.00038178,             0.00038178
                     49,                0.87767,                0.57117,                 1.2021,                0.90472,                0.80237,                0.89072,                0.55028,                0.98683,                0.72211,                  1.323,             0.00037471,             0.00037471,             0.00037471
                     50,                0.86068,                0.58272,                 1.1933,                0.93953,                 0.7983,                0.88876,                0.55258,                 1.0217,                0.62981,                 1.3362,             0.00036764,             0.00036764,             0.00036764
                     51,                0.86324,                0.56216,                 1.1927,                 0.9015,                0.80435,                0.88604,                0.55426,                0.97946,                0.70887,                  1.302,             0.00036057,             0.00036057,             0.00036057
                     52,                0.83266,                0.54404,                 1.1663,                0.88354,                0.82468,                0.88018,                0.54983,                 1.0134,                0.59081,                  1.332,              0.0003535,              0.0003535,              0.0003535
                     53,                 0.8348,                0.54435,                 1.1675,                0.90561,                 0.8083,                 0.8777,                0.53817,                0.98939,                0.72178,                 1.3003,             0.00034643,             0.00034643,             0.00034643
                     54,                0.80368,                0.52779,                  1.153,                0.88002,                0.82623,                0.88365,                0.54586,                 1.0102,                0.61333,                 1.3184,             0.00033936,             0.00033936,             0.00033936
                     55,                0.79874,                0.52346,                 1.1434,                0.90437,                0.82237,                0.88647,                0.54181,                 1.0151,                0.90172,                  1.343,              0.0003323,              0.0003323,              0.0003323
                     56,                0.81621,                0.52829,                  1.153,                0.93214,                0.77075,                0.86906,                0.53461,                 1.0024,                0.59554,                 1.3369,             0.00032523,             0.00032523,             0.00032523
                     57,                0.80876,                0.54859,                 1.1583,                 0.9204,                0.79982,                0.88483,                0.54145,                0.99576,                0.77424,                 1.3364,             0.00031816,             0.00031816,             0.00031816
                     58,                0.80222,                0.50628,                 1.1319,                0.88963,                0.82834,                0.88944,                0.55861,                0.98626,                0.77589,                 1.3343,             0.00031109,             0.00031109,             0.00031109
                     59,                0.77806,                0.51263,                 1.1362,                0.92215,                0.79587,                0.88574,                0.56309,                0.95735,                0.55333,                 1.2839,             0.00030402,             0.00030402,             0.00030402
                     60,                0.75259,                0.48093,                 1.1209,                0.91089,                0.83202,                0.89143,                0.55355,                0.97865,                 0.6485,                 1.3237,             0.00029695,             0.00029695,             0.00029695
                     61,                0.79165,                0.50688,                 1.1354,                0.88196,                 0.8269,                 0.8883,                0.55331,                 1.0115,                0.69459,                 1.3442,             0.00028988,             0.00028988,             0.00028988
                     62,                0.76287,                0.49192,                 1.1179,                0.89905,                0.82725,                0.88239,                0.55748,                0.99815,                0.60582,                  1.328,             0.00028282,             0.00028282,             0.00028282
                     63,                0.76867,                0.49184,                 1.1302,                0.89286,                 0.8235,                0.89045,                0.54809,                0.99372,                0.64071,                 1.3262,             0.00027575,             0.00027575,             0.00027575
                     64,                0.76159,                0.47769,                 1.1259,                0.88705,                0.83794,                0.88857,                 0.5574,                0.98339,                0.56491,                 1.3243,             0.00026868,             0.00026868,             0.00026868
                     65,                0.71821,                0.45222,                 1.1014,                0.89683,                0.82411,                0.88774,                0.56073,                 0.9765,                0.52323,                 1.3274,             0.00026161,             0.00026161,             0.00026161
                     66,                0.71447,                0.44804,                 1.0855,                0.89222,                0.82411,                0.89197,                0.55884,                 0.9875,                 0.5929,                  1.327,             0.00025454,             0.00025454,             0.00025454
                     67,                0.70411,                0.44852,                 1.0797,                 0.8779,                0.83837,                0.89307,                0.56399,                0.98201,                0.56973,                 1.3388,             0.00024747,             0.00024747,             0.00024747
                     68,                0.73235,                0.44616,                 1.0888,                0.91252,                0.81818,                0.88818,                0.55948,                 1.0024,                0.57571,                 1.3677,              0.0002404,              0.0002404,              0.0002404
                     69,                0.69408,                0.44144,                 1.0825,                0.89147,                0.82213,                0.89005,                0.55523,                 1.0094,                0.60678,                 1.3828,             0.00023334,             0.00023334,             0.00023334
                     70,                0.68716,                0.43319,                 1.0761,                0.92634,                0.79528,                0.88308,                0.56265,                0.97531,                0.65048,                 1.3438,             0.00022627,             0.00022627,             0.00022627
                     71,                0.65563,                0.40769,                   1.07,                0.88243,                0.83066,                 0.8762,                 0.5581,                0.97104,                0.69259,                 1.3336,              0.0002192,              0.0002192,              0.0002192
                     72,                0.69222,                0.43701,                 1.0552,                0.90401,                0.80032,                0.87963,                0.55932,                0.96438,                 0.6311,                 1.3265,             0.00021213,             0.00021213,             0.00021213
                     73,                0.71561,                0.44145,                 1.0677,                0.87448,                0.84783,                0.88536,                 0.5584,                0.98368,                0.55217,                 1.3452,             0.00020506,             0.00020506,             0.00020506
                     74,                0.66451,                 0.4171,                 1.0647,                0.93312,                0.79959,                0.88853,                0.56157,                0.99045,                0.54047,                 1.3559,             0.00019799,             0.00019799,             0.00019799
                     75,                0.68758,                0.42901,                 1.0678,                0.89696,                0.81423,                 0.8831,                0.55792,                0.99242,                0.54485,                  1.366,             0.00019092,             0.00019092,             0.00019092
                     76,                0.65117,                0.40854,                 1.0694,                0.92146,                 0.8004,                0.88272,                0.56316,                 0.9846,                0.53465,                 1.3682,             0.00018385,             0.00018385,             0.00018385
                     77,                0.63737,                0.39428,                 1.0418,                0.92057,                0.82411,                0.88925,                0.56891,                 0.9892,                0.51519,                 1.3707,             0.00017679,             0.00017679,             0.00017679
                     78,                0.63858,                0.40176,                 1.0466,                0.89064,                0.83695,                0.88309,                0.55973,                0.97477,                0.51886,                 1.3546,             0.00016972,             0.00016972,             0.00016972
                     79,                0.64408,                0.39972,                  1.047,                0.87689,                0.83056,                0.88608,                0.56685,                 1.0023,                0.51967,                 1.3745,             0.00016265,             0.00016265,             0.00016265
                     80,                0.63948,                0.39486,                 1.0392,                0.89524,                0.82411,                0.88071,                0.56699,                0.98523,                0.49889,                 1.3566,             0.00015558,             0.00015558,             0.00015558
                     81,                0.63357,                0.39439,                 1.0418,                 0.8957,                0.82411,                0.88718,                0.56306,                0.98057,                0.50754,                 1.3855,             0.00014851,             0.00014851,             0.00014851
                     82,                0.60091,                 0.3712,                  1.025,                0.89491,                0.82468,                0.89002,                0.57463,                0.95831,                0.47782,                 1.3387,             0.00014144,             0.00014144,             0.00014144
                     83,                0.63475,                0.38575,                 1.0375,                0.89452,                0.83801,                0.89356,                0.57501,                 0.9599,                0.47316,                   1.35,             0.00013437,             0.00013437,             0.00013437
                     84,                0.63254,                0.38534,                 1.0323,                0.91085,                0.81621,                 0.8827,                0.56475,                0.96378,                0.48044,                 1.3585,             0.00012731,             0.00012731,             0.00012731
                     85,                0.59929,                 0.3693,                 1.0253,                 0.8967,                0.83202,                0.88059,                0.56658,                0.96834,                0.51304,                 1.3578,             0.00012024,             0.00012024,             0.00012024
                     86,                0.58002,                0.35857,                 1.0137,                0.90272,                0.83004,                0.88184,                0.57141,                0.96344,                0.48522,                 1.3619,             0.00011317,             0.00011317,             0.00011317
                     87,                0.56851,                0.35102,                  1.004,                0.89686,                0.82806,                 0.8891,                0.56645,                0.97178,                0.47965,                 1.3585,              0.0001061,              0.0001061,              0.0001061
                     88,                0.58909,                0.36229,                  1.022,                0.89179,                 0.8498,                0.89152,                0.56568,                0.96203,                0.48196,                 1.3631,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.57749,                0.36284,                 1.0153,                0.87888,                0.84611,                0.88936,                0.57422,                0.95915,                 0.4838,                 1.3514,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.50095,                0.28555,                0.96227,                0.92266,                0.82515,                0.89787,                0.57845,                0.95246,                0.48883,                 1.3382,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.48604,                0.27387,                0.95086,                0.91588,                0.81225,                0.89015,                0.57463,                0.96041,                0.54077,                 1.3526,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.48852,                0.27168,                0.95763,                0.89713,                0.82729,                0.88912,                0.57239,                0.97001,                0.51092,                  1.362,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.48376,                0.27098,                0.95787,                0.90048,                0.82253,                0.89064,                0.57702,                0.96815,                0.52458,                  1.364,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.48734,                 0.2728,                0.95053,                0.89212,                0.82016,                0.88613,                0.57565,                0.95313,                0.53665,                 1.3644,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.45369,                0.25145,                0.93439,                0.90389,                0.81779,                 0.8905,                0.57622,                0.95832,                0.53482,                 1.3589,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 0.4548,                0.25533,                0.94471,                0.89678,                0.82415,                0.89144,                0.57924,                0.95899,                0.52483,                 1.3683,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.45786,                0.25879,                0.94163,                0.91143,                0.81225,                0.88592,                0.58022,                0.95107,                 0.5229,                 1.3624,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.43714,                 0.2444,                0.92378,                0.90668,                0.80649,                0.88944,                0.58401,                0.94328,                0.54475,                 1.3592,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.42785,                0.24137,                0.92878,                0.92124,                0.81621,                0.89518,                0.58196,                0.94528,                0.52955,                 1.3632,             2.1277e-05,             2.1277e-05,             2.1277e-05
